
{ platform:iOS Simulator, arch:x86_64, id:A0CCC457-B9E9-4832-9A79-BC952DD26427, OS:18.6, name:iPad Pro 11-inch (M4) }
{ platform:iOS Simulator, arch:arm64, id:668C59EB-D582-4881-BFF0-66AB4784BA5F, OS:26.0.1, name:iPad Pro 11-inch (M4) }
{ platform:iOS Simulator, arch:x86_64, id:668C59EB-D582-4881-BFF0-66AB4784BA5F, OS:26.0.1, name:iPad Pro 11-inch (M4) }
{ platform:iOS Simulator, arch:arm64, id:CF55560E-AAE1-4E68-8684-A04067AF440F, OS:26.1, name:iPad Pro 11-inch (M4) }
{ platform:iOS Simulator, arch:x86_64, id:CF55560E-AAE1-4E68-8684-A04067AF440F, OS:26.1, name:iPad Pro 11-inch (M4) }
{ platform:iOS Simulator, arch:arm64, id:E0023001-EA90-42F3-A074-A70BAE074D68, OS:26.2, name:iPad Pro 11-inch (M4) }
{ platform:iOS Simulator, arch:x86_64, id:E0023001-EA90-42F3-A074-A70BAE074D68, OS:26.2, name:iPad Pro 11-inch (M4) }
{ platform:iOS Simulator, arch:arm64, id:234B2D68-57F1-4EBC-AAC5-535EA40EFE5F, OS:26.0.1, name:iPad Pro 11-inch (M5) }
{ platform:iOS Simulator, arch:x86_64, id:234B2D68-57F1-4EBC-AAC5-535EA40EFE5F, OS:26.0.1, name:iPad Pro 11-inch (M5) }
{ platform:iOS Simulator, arch:arm64, id:13749E96-BB10-4451-8C31-1593FD1DA765, OS:26.1, name:iPad Pro 11-inch (M5) }
{ platform:iOS Simulator, arch:x86_64, id:13749E96-BB10-4451-8C31-1593FD1DA765, OS:26.1, name:iPad Pro 11-inch (M5) }
{ platform:iOS Simulator, arch:arm64, id:AE21ADEF-2E06-4714-9F13-A9323D0C88CF, OS:26.2, name:iPad Pro 11-inch (M5) }
{ platform:iOS Simulator, arch:x86_64, id:AE21ADEF-2E06-4714-9F13-A9323D0C88CF, OS:26.2, name:iPad Pro 11-inch (M5) }
{ platform:iOS Simulator, arch:arm64, id:0BCF6AF3-9BE1-450A-A4F7-B5949A140F28, OS:18.5, name:iPad Pro 13-inch (M4) }
{ platform:iOS Simulator, arch:x86_64, id:0BCF6AF3-9BE1-450A-A4F7-B5949A140F28, OS:18.5, name:iPad Pro 13-inch (M4) }
{ platform:iOS Simulator, arch:arm64, id:2E018329-3D51-4E70-8110-AD440B6C3609, OS:18.6, name:iPad Pro 13-inch (M4) }
{ platform:iOS Simulator, arch:x86_64, id:2E018329-3D51-4E70-8110-AD440B6C3609, OS:18.6, name:iPad Pro 13-inch (M4) }
{ platform:iOS Simulator, arch:arm64, id:16659830-2E52-4020-9780-72FD48E5C41C, OS:26.0.1, name:iPad Pro 13-inch (M4) }
{ platform:iOS Simulator, arch:x86_64, id:16659830-2E52-4020-9780-72FD48E5C41C, OS:26.0.1, name:iPad Pro 13-inch (M4) }
{ platform:iOS Simulator, arch:arm64, id:A5FD6C92-2E00-48DB-8236-6FAE6D0867CA, OS:26.1, name:iPad Pro 13-inch (M4) }
{ platform:iOS Simulator, arch:x86_64, id:A5FD6C92-2E00-48DB-8236-6FAE6D0867CA, OS:26.1, name:iPad Pro 13-inch (M4) }
{ platform:iOS Simulator, arch:arm64, id:9AB3EFBB-7156-483E-9B00-30A6445AD83B, OS:26.2, name:iPad Pro 13-inch (M4) }
{ platform:iOS Simulator, arch:x86_64, id:9AB3EFBB-7156-483E-9B00-30A6445AD83B, OS:26.2, name:iPad Pro 13-inch (M4) }
{ platform:iOS Simulator, arch:arm64, id:005DDE0B-4E8D-4792-AEC9-78C4D5CC73AC, OS:26.0.1, name:iPad Pro 13-inch (M5) }
{ platform:iOS Simulator, arch:x86_64, id:005DDE0B-4E8D-4792-AEC9-78C4D5CC73AC, OS:26.0.1, name:iPad Pro 13-inch (M5) }
{ platform:iOS Simulator, arch:arm64, id:40AECDE4-4332-403F-AF47-0A09AA0BD0A5, OS:26.1, name:iPad Pro 13-inch (M5) }
{ platform:iOS Simulator, arch:x86_64, id:40AECDE4-4332-403F-AF47-0A09AA0BD0A5, OS:26.1, name:iPad Pro 13-inch (M5) }
{ platform:iOS Simulator, arch:arm64, id:546EF23F-DD17-40AF-8B52-82A873B78D30, OS:26.2, name:iPad Pro 13-inch (M5) }
{ platform:iOS Simulator, arch:x86_64, id:546EF23F-DD17-40AF-8B52-82A873B78D30, OS:26.2, name:iPad Pro 13-inch (M5) }
{ platform:iOS Simulator, arch:arm64, id:AAD6D5F6-BDDA-4755-9B80-6D30C9EFE2C3, OS:18.5, name:iPad mini (A17 Pro) }
{ platform:iOS Simulator, arch:x86_64, id:AAD6D5F6-BDDA-4755-9B80-6D30C9EFE2C3, OS:18.5, name:iPad mini (A17 Pro) }
{ platform:iOS Simulator, arch:arm64, id:C882CB3B-42B0-4B51-A06C-257C3093E8B6, OS:18.6, name:iPad mini (A17 Pro) }
{ platform:iOS Simulator, arch:x86_64, id:C882CB3B-42B0-4B51-A06C-257C3093E8B6, OS:18.6, name:iPad mini (A17 Pro) }
{ platform:iOS Simulator, arch:arm64, id:1376166F-B2E7-456E-95D1-1EC443B3755A, OS:26.0.1, name:iPad mini (A17 Pro) }
{ platform:iOS Simulator, arch:x86_64, id:1376166F-B2E7-456E-95D1-1EC443B3755A, OS:26.0.1, name:iPad mini (A17 Pro) }
{ platform:iOS Simulator, arch:arm64, id:4D649797-60B7-4716-9927-A6CBF32BB8D7, OS:26.1, name:iPad mini (A17 Pro) }
{ platform:iOS Simulator, arch:x86_64, id:4D649797-60B7-4716-9927-A6CBF32BB8D7, OS:26.1, name:iPad mini (A17 Pro) }
